Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-03 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,261.77,331.75,54.47,54.47,eia.gov,false,
2023-01-03 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,317.06,396.75,44.86,44.86,eia.gov,false,
2023-01-03 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,302.97,380.19,47.31,47.31,eia.gov,false,
2023-01-03 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,301.68,378.67,47.53,47.53,eia.gov,false,
2023-01-03 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,302.29,379.39,47.43,47.43,eia.gov,false,
2023-01-03 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,314.24,393.44,45.35,45.35,eia.gov,false,
2023-01-03 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,312.79,391.73,45.6,45.6,eia.gov,false,
2023-01-03 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,312.79,391.73,45.6,45.6,eia.gov,false,
2023-01-03 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,315.71,395.17,45.09,45.09,eia.gov,false,
2023-01-03 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,309.92,388.36,46.1,46.1,eia.gov,false,
2023-01-03 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,303.11,380.35,47.29,47.29,eia.gov,false,
2023-01-03 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,217.66,279.89,62.15,62.15,eia.gov,false,
2023-01-03 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,186.31,243.04,67.6,67.6,eia.gov,false,
2023-01-03 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,168.09,221.62,70.77,70.77,eia.gov,false,
2023-01-03 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,228.72,283.73,63.33,63.32,eia.gov,false,
2023-01-03 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,274.1,326.81,58.86,58.86,eia.gov,false,
2023-01-03 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,249.31,296.56,63.54,63.54,eia.gov,false,
2023-01-03 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,223.25,264.45,68.54,68.54,eia.gov,false,
2023-01-03 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,253.34,290.12,66.52,66.52,eia.gov,false,
2023-01-03 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,268.38,305.59,64.77,64.77,eia.gov,false,
2023-01-03 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,265.7,302.81,65.11,65.11,eia.gov,false,
